Date,Total Cyclists,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2014-01-01,586,-1,-1,3.6,3.8,5.3,2.1
2014-01-02,1543,-1,-1,1.1,,2.2,0.6
2014-01-03,1582,-1,-1,1.7,0.7,2,1.1
2014-01-04,888,2.7,-1,2.6,1.6,2.4,1.6
2014-01-05,938,-1,-1,4.5,1.7,5.2,2.2
2014-01-06,991,0.8,-1,2.4,1.3,4.5,1.3
2014-01-07,1530,11.1,-1,3.4,2.5,3.9,2.8
2014-01-08,1845,1.4,-1,5.1,2.3,5.6,2.5
2014-01-09,2242,10.7,-1,4.6,4.1,5.3,3.9
2014-01-10,1206,3,-1,1.8,1.7,4.2,0.4
2014-01-11,760,1.7,-1,-3.2,-2.9,0.4,-3.9
2014-01-12,421,0.2,2,-7.3,,-3.9,-8.6
2014-01-13,1188,-1,2,-10.4,-10.1,-7.8,-12.3
2014-01-14,1012,-1,2,-13.6,-15.1,-12,-15.1
2014-01-15,1702,0.6,2,-10.4,-14.2,-8.4,-13.3
2014-01-16,1598,-1,4,-11.5,,-8,-12.5
2014-01-17,876,-1,4,-12.7,-14.9,-11.6,-13.9
2014-01-18,359,-1,5,-12.7,-13.7,-10.8,-14.2
2014-01-19,384,-1,4,-12.1,-16.9,-8.7,-16.3
2014-01-20,1005,0.3,4,-11,-16.8,-8.6,-14.3
2014-01-21,1086,-1,6,-10.4,,-8.1,-12.5
2014-01-22,1104,-1,6,-13.9,-14.8,-12.2,-15
2014-01-23,1016,-1,6,-14.3,,-11,-16.9
2014-01-24,929,-1,7,-15.3,,-12.8,-18.2
2014-01-25,433,-1,7,-7.2,-19.4,-4.5,-17.2
2014-01-26,391,-1,6,-7.2,-6.9,-4.9,-8.4
2014-01-27,1120,-1,6,-7,-7.6,-4.4,-8.7
2014-01-28,1049,-1,6,-6.9,-8,-5.2,-8
2014-01-29,1111,-1,6,-7.8,-9.3,-5.8,-8.4
2014-01-30,1127,-1,6,-9.7,-12.3,-7.5,-11
2014-01-31,940,13.4,6,-8.3,-11.6,-6.4,-10.2
2014-02-01,223,0.8,18,-5.6,-7.4,-4.3,-7.6
2014-02-02,362,1.1,17,-2.6,,-2.2,-4.7
2014-02-03,1059,0.5,16,-0.4,,0.6,-3
2014-02-04,1012,-1,16,-0.1,,0.8,-0.5
2014-02-05,1038,-1,15,-2.9,,0.1,-4.7
2014-02-06,1203,-1,15,-5.3,,-2.1,-7.3
2014-02-07,1007,2.5,15,-1.1,,0.9,-7.1
2014-02-08,357,2.5,13,1.6,-0.3,2.2,0.6
